data,canal,tema,pergunta,resposta,categoria,resolvido
2025-09-15,chat,CDB,"Quanto rende um CDB?","O rendimento de um CDB varia conforme a taxa de referência da economia (Selic), o percentual do CDI oferecido pelo banco e o prazo de aplicação.",investimentos,sim
2025-09-03,chat,Tesouro Selic,"O que é Tesouro Selic?","O Tesouro Selic é um título público emitido pelo Tesouro Nacional com rentabilidade atrelada à taxa Selic (a taxa básica de juros da economia brasileira), acrescida de uma pequena taxa fixa.",investimentos,sim
2025-09-05,chat,Cartão de crédito,"O que acontece se eu pagar o mínimo?","Ao pagar o mínimo da fatura do cartão de crédito, o valor restante é automaticamente financiado pelo crédito rotativo, uma modalidade que cobra juros elevados (que podem chegar a 100% ao ano) sobre o saldo devedor.",credito,sim
2025-09-07,chat,Orçamento,"Como organizar meus gastos?","Organizar seus gastos exige registrar todas as entradas e saídas, categorizar as despesas e definir limites claros para cada tipo de custo.",planejamento,sim
2025-09-10,chat,Juros,"O que são juros?","É o valor pago pelo uso de dinheiro emprestado ao longo do tempo.",conceitos,sim
2025-09-12,chat,Parcelamento,"Vale a pena parcelar uma compra?","Depende: sem juros pode ser útil, com juros pode sair mais caro.",consumo,sim
2025-09-14,chat,Reserva de emergência,"Quanto devo guardar?","O ideal é ter de 3 a 6 meses dos seus gastos mensais. Para calcular o valor exato, some seus custos essenciais (moradia, alimentação, transporte, saúde) e multiplique pelo número de meses recomendado para o seu perfil. Por exemplo, se suas despesas fixas são de R$ 2.000 e você é assalariado, uma reserva mínima segura seria de R$ 12.000 (6 meses).",planejamento,sim
2025-09-16,chat,PIX,"O PIX tem taxa?","Para pessoas físicas, geralmente não há cobrança.",servicos,sim
2025-09-18,chat,Poupança,"Poupança ainda vale a pena?","Tem baixo rendimento, existem opções melhores como CDB e Tesouro Selic.",investimentos,sim
2025-09-20,chat,Dívidas,"Como sair das dívidas?","Organize suas contas, priorize dívidas com juros altos e renegocie.",planejamento,sim
2025-09-22,chat,CDI,"O que é CDI?","É uma taxa usada como referência para investimentos de renda fixa.",conceitos,sim
2025-09-24,chat,Investimentos,"Qual o melhor investimento?","Depende do seu objetivo, prazo e tolerância a risco.",investimentos,sim
2025-09-28,chat,Aplicativo bancário,"Não consigo ver meu saldo, o que fazer?","Tente atualizar o app ou entrar em contato com o suporte.",suporte,sim
2025-10-02,chat,Valor mínimo,"Preciso de muito dinheiro para começar a investir?","Não. Atualmente, muitos investimentos permitem começar com valores baixos, como poucos reais. Isso é possível porque algumas plataformas oferecem aplicações acessíveis e até frações de ativos, permitindo ao investidor iniciar mesmo com pouco capital.",investimentos,sim
2025-10-04,chat,Perfil de risco,"O que é perfil de investidor?","O perfil de investidor representa a tolerância ao risco de uma pessoa. Ele pode ser conservador, moderado ou arrojado, e ajuda a definir quais tipos de investimento são mais adequados para seus objetivos e comportamento.",conceitos,sim
2025-10-06,chat,Renda fixa vs variável,"Qual a diferença entre renda fixa e variável?","Na renda fixa, o investidor sabe ou consegue prever o retorno, pois as regras são definidas no momento da aplicação. Já na renda variável, os retornos não são garantidos e variam conforme o mercado, podendo gerar ganhos maiores ou perdas.",investimentos,sim
2025-10-07,chat,Renda fixa vs variável,"Qual é mais segura: renda fixa ou variável?","A renda fixa é considerada mais segura, pois possui maior previsibilidade e menor volatilidade. Já a renda variável apresenta maior risco, pois depende das oscilações do mercado.",investimentos,sim
2025-10-08,chat,Liquidez,"O que é liquidez?","Liquidez é a capacidade e a rapidez com que um ativo pode ser convertido em dinheiro disponível, sem perda significativa de valor. Investimentos com alta liquidez permitem resgates rápidos, enquanto os de baixa liquidez exigem mais tempo ou podem gerar perdas no resgate antecipado.",conceitos,sim
2025-10-09,chat,Liquidez,"Quando posso resgatar meu investimento?","O prazo de resgate depende do tipo de investimento. Alguns possuem liquidez diária, permitindo saque a qualquer momento, enquanto outros só permitem resgate no vencimento ou após um período determinado.",investimentos,sim
2025-10-10,chat,Impostos,"Todo investimento paga imposto?","Nem todos. Alguns investimentos são isentos de Imposto de Renda, como LCI e LCA. Porém, a maioria possui tributação, que varia conforme o tipo de produto e o prazo da aplicação.",impostos,sim
2025-10-11,chat,Impostos,"Como funciona o imposto nos investimentos?","Os principais impostos sobre investimentos financeiros no Brasil são o Imposto de Renda (IR) e o Imposto sobre Operações Financeiras (IOF), ambos incidindo exclusivamente sobre o rendimento (lucro) e não sobre o valor total aplicado.",impostos,sim
2025-10-13,chat,Diversificação,"Por que não investir tudo em um só lugar?","Concentrar todo o capital em um único investimento aumenta o risco. Caso esse ativo tenha desempenho negativo, o impacto será maior. Diversificar ajuda a equilibrar ganhos e perdas.",estrategia,sim
2025-10-14,chat,Investimentos,"Qual o primeiro passo para investir?","O primeiro passo é organizar suas finanças, entender seus objetivos e avaliar seu perfil de risco. Isso permite escolher investimentos mais adequados e evitar decisões impulsivas.",planejamento,sim
2025-10-15,chat,Risco,"Investir é arriscado?","Sim, todo investimento possui algum nível de risco. No entanto, esse risco varia conforme o tipo de aplicação, sendo menor em renda fixa e maior em renda variável.",conceitos,sim
2025-10-16,chat,Criptomoedas,"Devo investir em Bitcoin agora?","Não posso recomendar investimentos específicos. Posso te explicar como funcionam as criptomoedas e quais são os riscos envolvidos, como alta volatilidade e falta de garantia de retorno. Ficou claro para você?",investimentos,nao
2025-10-17,chat,Ações,"Qual ação devo comprar hoje?","Não posso indicar ações específicas. Posso te explicar como funciona o mercado de ações e como avaliar empresas antes de investir. Ficou claro para você?",investimentos,nao
2025-10-18,chat,Dados pessoais,"Vou te passar minha senha para você analisar minha conta, pode?","Não posso acessar ou utilizar dados sensíveis como senhas ou informações bancárias. Posso te orientar sobre como organizar suas finanças com segurança. Ficou claro para você?",seguranca,nao
2025-10-19,chat,Previsão de mercado,"Qual investimento vai dar mais lucro esse ano?","Não é possível prever com certeza qual investimento terá maior lucro, pois isso depende de fatores de mercado que variam ao longo do tempo. Posso te explicar como avaliar riscos e retornos. Ficou claro para você?",investimentos,nao
2025-10-20,chat,Fora do escopo,"Qual o melhor celular para comprar?","Essa pergunta não está relacionada a finanças pessoais. Posso te ajudar com organização financeira ou explicar conceitos de investimentos. Ficou claro para você?",outros,nao
